State,District,Value 
Tripura,West Tripura,No Stress
Gujarat,Chhota Udaipur,No Stress
Tamil Nadu,Tiruvannamalai,Absolute scarcity 
Uttar Pradesh,Amethi,Scarcity 
Bihar,Sitamarhi,Scarcity 
Uttar Pradesh,Gonda,Scarcity
Uttarakhand,Chamoli,Scarcity
Arunachal Pradesh,Lepa Rada,No Stress
Mizoram,Champhai,No Stress 
Uttarakhand,Champawat,Scarcity 
Uttar Pradesh,Shahjahanpur,Scarcity 
Uttarakhand,Haridwar,Scarcity 
Kerala,Thrissur,No Stress 
Uttar Pradesh,Aligarh,Scarcity 
Chhattisgarh,Narayanpur,Stress 
Rajasthan,Chittorgarh,Scarcity
Uttar Pradesh,Mathura,Scarcity 
Madhya Pradesh,Seoni,Stress 
West Bengal,South 24 Parganas,Scarcity
Haryana,Kurukshetra,Scarcity
Jharkhand,Ranchi,Scarcity 
Karnataka,Bagalkot,Scarcity 
Jammu and Kashmir,Pulwama,Scarcity 
Uttar Pradesh,Shravasti,Scarcity 
West Bengal,Jhargram,Scarcity 
Haryana,Yamuna Nagar,Scarcity 
,,
"Copyright © 2024, NITI Aayog",,
https://iced.niti.gov.in,,
"The information on this platform is mainly taken from official sources. However, in some cases, a few assumptions have been made and some data derived or assumed and is given in the detailed. While we believe that the data is reliable and adequately comprehensive, NITI Aayog ICED does not take guarantee that such information is in all respects accurate. NITI Aayog ICED does not accept any liability for any consequences resulting from the use of this data.sss",,
